zipcode,plus4_code,Count_ICE_Type,Count_PHEV_Type,Count_BEV_Type
90002,1919,43,0,0
90002,1920,15,0,0
90002,1923,5,0,0
90002,1924,7,0,0
90002,1925,16,0,0
90002,1926,10,0,0
90002,1927,15,0,0
90002,1928,15,0,0
90002,1929,27,0,0
90002,1930,1,0,0
90002,1931,1,0,0
90002,1932,31,0,0
90002,1933,22,0,0
90002,1934,15,0,0
90002,1935,43,0,0
90002,1936,2,0,0
90002,1937,21,0,0
90002,1938,24,0,0
90002,1939,6,0,0
90002,1940,1,0,0
90002,1944,3,0,0
90002,1946,32,0,0
90002,1947,22,0,0
90002,1948,19,0,0
90002,1949,10,0,0
90002,1951,1,0,0
90002,1957,2,0,0
90002,1961,1,0,0
90002,2000,6,0,0
90002,2001,3,0,0
90002,2002,8,0,0
90002,2003,7,0,0
90002,2005,24,0,0
90002,2013,3,0,0
90002,2014,3,0,0
90002,2015,2,0,0
90002,2016,6,0,0
90002,2018,1,0,0
90002,2019,3,0,0
90002,2020,1,0,0
90002,2023,11,0,0
90002,2024,3,0,0
90002,2025,1,0,0
90002,2026,7,0,0
90002,2027,9,0,0
90002,2029,11,0,0
90002,2030,1,0,0
90002,2037,10,0,0
90002,2040,11,0,0
90002,2041,12,0,0
90002,2042,10,0,0
90002,2043,11,0,0
90002,2044,3,0,0
90002,2045,3,0,1
90002,2047,1,0,0
90002,2048,1,0,0
90002,2049,3,0,0
90002,2055,6,0,0
90002,2058,1,0,0
90002,2060,8,0,0
90002,2065,3,0,0
90002,2066,3,0,0
90002,2157,2,0,0
90002,2205,6,0,0
90002,2206,17,0,0
90002,2209,7,0,0
90002,2212,19,0,0
90002,2213,21,0,0
90002,2214,15,0,0
90002,2215,8,0,0
90002,2216,10,0,0
90002,2217,13,0,0
90002,2218,22,0,0
90002,2219,15,0,0
90002,2220,6,0,0
90002,2221,6,0,0
90002,2222,10,0,0
90002,2223,25,0,0
90002,2224,3,0,0
90002,2226,3,0,0
90002,2228,8,0,0
90002,2230,2,0,0
90002,2231,7,0,0
90002,2233,7,0,0
90002,2234,24,0,0
90002,2236,5,0,0
90002,2241,23,0,0
90002,2243,12,0,0
90002,2245,5,0,0
90002,2250,7,0,0
90002,2251,1,0,0
90002,2252,1,0,0
90002,2254,1,0,0
90002,2260,4,0,0
90002,2264,1,0,0
90002,2265,4,0,0
90002,2301,8,0,0
90002,2303,14,0,0
90002,2304,22,0,0
90002,2305,13,0,0
90002,2306,4,0,0
90002,2308,9,0,0
90002,2309,10,0,0
90002,2310,16,0,0
90002,2311,8,0,0
90002,2312,15,0,0
90002,2313,6,0,0
90002,2314,2,0,0
90002,2316,7,0,0
90002,2317,4,0,0
90002,2318,13,0,0
90002,2319,5,0,0
90002,2320,7,0,0
90002,2321,6,0,0
90002,2322,3,0,0
90002,2323,1,0,0
90002,2324,17,0,0
90002,2325,11,0,0
90002,2327,15,0,0
90002,2328,17,0,0
90002,2329,24,0,0
90002,2330,19,0,0
90002,2331,3,0,0
90002,2333,12,0,0
90002,2334,8,0,0
90002,2337,1,0,0
90002,2338,2,0,0
90002,2339,1,0,0
90002,2340,2,0,0
90002,2341,21,0,0
90002,2342,41,0,0
90002,2343,12,0,0
90002,2344,17,0,0
90002,2345,8,0,0
90002,2346,11,0,0
90002,2347,9,0,0
90002,2348,21,0,0
90002,2349,28,0,0
90002,2350,28,0,0
90002,2351,13,0,0
90002,2352,14,0,0
90002,2353,17,0,0
90002,2354,12,0,0
90002,2355,14,0,0
90002,2356,12,0,0
90002,2358,9,0,0
90002,2359,1,0,0
90002,2364,2,0,0
90002,2368,3,0,0
90002,2369,1,0,0
90002,2370,3,0,0
90002,2371,7,0,0
90002,2372,4,0,0
90002,2373,4,0,0
90002,2374,3,0,0
90002,2375,4,0,0
90002,2376,3,0,0
90002,2377,2,0,0
90002,2378,3,0,0
90002,2379,4,0,0
90002,2380,3,0,0
90002,2381,3,0,0
90002,2382,6,0,0
90002,2383,1,0,0
90002,2385,1,0,0
90002,2386,3,0,0
90002,2387,1,0,0
90002,2388,1,0,0
90002,2389,7,0,0
90002,2390,1,0,0
90002,2391,4,0,0
90002,2392,6,0,0
90002,2393,3,0,0
90002,2394,1,0,0
90002,2395,6,0,0
90002,2396,6,0,0
90002,2397,6,0,0
90002,2398,3,0,0
90002,2399,3,0,0
90002,2400,4,0,0
90002,2403,4,0,0
90002,2406,5,0,0
90002,2407,5,0,0
90002,2408,4,0,0
90002,2409,1,0,0
90002,2410,3,0,0
90002,2411,5,0,0
90002,2412,1,0,0
90002,2413,14,0,0
90002,2414,9,0,0
90002,2415,6,0,0
90002,2416,16,0,0
90002,2417,15,0,0
90002,2418,6,0,0
90002,2419,24,0,0
90002,2420,16,0,0
90002,2421,22,0,0
90002,2422,41,0,0
90002,2423,18,0,0
90002,2424,16,0,0
90002,2425,11,0,0
90002,2426,15,0,0
90002,2427,15,0,0
90002,2428,22,0,0
90002,2429,19,0,0
90002,2430,27,0,0
90002,2431,36,0,0
90002,2432,27,0,0
90002,2433,7,0,0
90002,2434,25,0,0
90002,2435,1,0,0
90002,2436,13,0,0
90002,2437,9,0,0
90002,2438,17,0,0
90002,2439,6,0,0
90002,2440,4,0,0
90002,2441,12,0,0
90002,2442,21,0,0
90002,2443,27,0,0
90002,2444,33,0,0
90002,2445,29,0,0
90002,2446,17,0,1
90002,2447,24,0,0
90002,2448,13,0,0
90002,2451,6,0,0
90002,2452,20,0,0
90002,2453,13,0,0
90002,2454,16,0,0
90002,2458,4,0,0
90002,2460,5,0,0
90002,2461,3,0,0
90002,2462,6,0,0
90002,2465,10,0,0
90002,2471,1,0,0
90002,2473,7,0,0
90002,2474,6,0,0
90002,2475,4,0,0
90002,2476,1,0,0
90002,2477,1,0,0
90002,2478,11,0,0
90002,2479,1,0,0
90002,2481,14,0,0
90002,2484,3,0,0
90002,2485,2,0,0
90002,2500,15,0,0
90002,2501,6,0,0
90002,2503,4,0,0
90002,2504,2,0,0
90002,2505,1,0,0
90002,2506,16,0,0
90002,2508,16,0,0
90002,2511,8,0,0
90002,2513,9,0,0
90002,2514,21,0,0
90002,2516,29,0,0
90002,2517,19,0,0
90002,2518,18,0,0
90002,2519,17,0,0
90002,2520,12,0,0
90002,2522,15,0,0
90002,2524,19,0,0
90002,2526,6,0,0
90002,2527,10,0,0
90002,2529,19,0,0
90002,2531,17,0,0
90002,2533,44,0,0
90002,2534,40,0,0
90002,2535,6,0,0
90002,2536,20,0,0
90002,2537,12,0,0
90002,2538,19,0,0
90002,2539,12,0,0
90002,2540,11,0,0
90002,2541,22,0,0
90002,2542,24,0,0
90002,2543,21,0,0
90002,2544,23,0,0
90002,2545,31,0,0
90002,2546,25,0,0
90002,2547,21,0,0
90002,2548,7,0,0
90002,2549,14,0,0
90002,2550,19,0,0
90002,2551,16,0,0
90002,2552,21,0,0
90002,2553,21,0,0
90002,2554,22,0,0
90002,2555,25,0,0
90002,2556,17,0,0
90002,2605,2,0,0
90002,2609,38,0,0
90002,2611,10,0,0
90002,2701,30,0,0
90002,2702,22,0,0
90002,2703,35,0,0
90002,2704,45,0,0
90002,2705,21,0,0
90002,2706,40,0,0
90002,2707,4,0,0
90002,2708,10,0,0
90002,2709,15,1,0
90002,2710,15,0,0
90002,2711,40,0,0
90002,2712,37,0,0
90002,2713,29,0,0
90002,2714,11,0,0
90002,2715,10,1,0
90002,2716,17,0,0
90002,2717,9,0,0
90002,2718,39,0,1
90002,2719,35,0,0
90002,2720,2,0,0
90002,2721,20,0,0
90002,2722,10,0,0
90002,2723,5,0,0
90002,2724,19,0,1
90002,2725,14,0,0
90002,2726,16,0,0
90002,2727,27,0,0
90002,2728,30,0,0
90002,2729,2,0,0
90002,2732,12,0,0
90002,2733,5,0,0
90002,2737,10,0,0
90002,2738,11,0,0
90002,2739,1,0,0
90002,2740,12,0,0
90002,2741,1,0,0
90002,2754,9,0,0
90002,2800,6,0,0
90002,2801,2,0,0
90002,2806,7,0,0
90002,2808,9,0,0
90002,2809,23,0,0
90002,2819,24,0,0
90002,2820,11,0,0
90002,2821,39,0,0
90002,2822,10,0,0
90002,2829,1,0,0
90002,2830,23,0,0
90002,2832,35,0,0
90002,2833,8,0,0
90002,2834,6,0,0
90002,2835,6,0,0
90002,2836,9,0,0
90002,2838,1,0,0
90002,2839,3,0,0
90002,2840,3,0,0
90002,2841,3,0,0
90002,2842,3,0,0
90002,2843,2,0,0
90002,2844,1,0,0
90002,2845,1,0,0
90002,2846,1,0,0
90002,2847,3,0,0
90002,2849,13,0,0
90002,2850,2,0,0
90002,2853,5,0,0
90002,2855,7,0,0
90002,2856,11,0,0
90002,2870,1,0,0
90002,2871,3,0,0
90002,2873,3,0,0
90002,2916,21,0,0
90002,2917,38,0,0
90002,2918,1,0,0
90002,2919,19,0,0
90002,2926,6,0,0
90002,2932,6,0,0
90002,2933,4,0,0
90002,2942,3,0,0
90002,2943,2,0,0
90002,2944,24,0,0
90002,2945,2,0,0
90002,2946,2,0,0
90002,2949,3,0,0
90002,2951,2,0,0
90002,2954,23,0,0
90002,2955,12,0,0
90002,2956,20,0,0
90002,2981,1,0,0
90002,2982,1,0,0
90002,2983,1,0,0
90002,2984,1,0,0
90002,3000,1,0,0
90002,3001,20,0,0
90002,3002,6,0,0
90002,3003,27,0,0
90002,3004,6,0,0
90002,3005,13,0,0
90002,3006,29,0,0
90002,3007,11,0,0
90002,3008,11,0,0
90002,3009,13,0,0
90002,3010,1,0,0
90002,3011,11,0,0
90002,3012,8,1,0
90002,3013,16,0,0
90002,3014,27,0,0
90002,3015,1,0,0
90002,3016,2,0,0
90002,3017,17,0,0
90002,3018,22,0,0
90002,3019,22,0,0
90002,3020,33,0,0
90002,3021,7,0,0
90002,3022,24,0,0
90002,3025,1,0,0
90002,3026,7,0,0
90002,3027,1,0,0
90002,3028,1,0,0
90002,3029,2,0,0
90002,3030,10,0,0
90002,3031,13,0,0
90002,3032,32,0,0
90002,3033,25,0,0
90002,3034,4,0,0
90002,3035,8,0,0
90002,3036,5,0,0
90002,3037,19,0,0
90002,3038,22,0,0
90002,3039,9,0,0
90002,3040,27,0,0
90002,3041,15,0,0
90002,3055,3,0,0
90002,3056,1,0,0
90002,3057,1,0,0
90002,3060,3,0,0
90002,3069,2,0,0
90002,3070,1,0,0
90002,3101,3,0,0
90002,3102,3,0,0
90002,3103,8,0,0
90002,3105,7,0,0
90002,3106,5,0,0
90002,3107,7,0,0
90002,3108,1,0,0
90002,3110,18,0,0
90002,3112,19,0,0
90002,3113,6,0,0
90002,3114,10,0,0
90002,3115,7,0,0
90002,3116,3,0,0
90002,3118,7,0,0
90002,3119,6,0,0
90002,3120,6,0,0
90002,3122,1,0,0
90002,3124,2,0,0
90002,3125,19,0,0
90002,3126,3,0,0
90002,3127,5,0,0
90002,3128,15,0,0
90002,3129,10,0,0
90002,3130,12,0,0
90002,3131,11,0,0
90002,3132,10,0,0
90002,3133,13,0,0
90002,3134,3,0,0
90002,3135,3,0,0
90002,3136,6,0,0
